max_rendimiento;tipo_transmision;tipo_motor;tipo_combustible;tipo_drivetrain
23;10-Speed A/T;3.5L V6 24V GDI DOHC Twin Turbo;Gasoline;RWD
26;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;AWD
26;Automatic CVT;2.5L H4 16V MPFI DOHC;Gasoline;AWD
32;Automatic CVT;2.5L H4 16V GDI DOHC;Gasoline;AWD
33;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
28;Automatic CVT;2.4L H4 16V GDI DOHC Turbo;Gasoline;AWD
26;Automatic CVT;3.5L V6 24V PDI DOHC Hybrid;Hybrid;AWD
22;8-Speed A/T;5.3L V8 16V GDI OHV;Gasoline;4WD
28;Automatic CVT;2.5L H4 16V GDI DOHC;Gasoline;AWD
33;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
29;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;4WD
29;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;4WD
31;8-Speed A/T;4.4L V8 32V GDI DOHC Twin Turbo;Gasoline;AWD
26;8-Speed A/T;3.0L I6 24V GDI DOHC Turbo;Gasoline;RWD
31;6-Speed A/T;2.5L I4 16V GDI DOHC;Gasoline;4WD
20;5-Speed A/T;4.0L V6 24V MPFI DOHC;Gasoline;4WD
25;1-Speed A/T;10 Cylinder;Gasoline;AWD
30;8-Speed A/T;3.6L V6 24V MPFI DOHC;Gasoline;RWD
107;6-Speed A/T;3.3L V6 24V GDI DOHC;Gasoline;AWD
22;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
30;8-Speed A/T;3.6L V6 24V MPFI DOHC;Gasoline;RWD
23;Automatic with Overdrive;2.7L V6 24V PDI DOHC Twin Turbo;Gasoline;4WD
34;CVT 7-Speed;4 Cylinder Engine;Gasoline;AWD
34;Automatic CVT;1.5L I4 16V GDI DOHC Turbo;Gasoline;4WD
21;5-Speed A/T;4.0L V6 24V MPFI DOHC;Gasoline;4WD
27;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;4WD
38;4-Speed A/T;3.0L V6 24V MPFI DOHC;Gasoline;AWD
23;5-Speed A/T;3.3L V6;Gasoline;4WD
22;Automatic CVT;1.5L I4 16V GDI DOHC Turbo;Gasoline;AWD
33;8-Speed A/T;4.4L V8 32V GDI DOHC Twin Turbo;Gasoline;AWD
21;5-Speed A/T;4.0L V6 24V MPFI DOHC;Gasoline;RWD
28;6-Speed A/T;3.6L V6 24V GDI DOHC;Gasoline;4WD
21;7-Speed A/T;5.5L V8 32V MPFI DOHC;Gasoline;AWD
20;Automatic CVT;2.5L I4 16V MPFI DOHC;Gasoline;AWD
32;8-Speed A/T;3.6L V6 24V GDI DOHC;Gasoline;AWD
22;9-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
33;8-Speed Automatic with Auto-Shift;2.4L I4 16V GDI DOHC;Gasoline;4WD
20;5-Speed A/T;4.0L V6 24V MPFI DOHC;Gasoline;4WD
30;6-Speed A/T;2.5L I4 16V MPFI DOHC;Gasoline;4WD
38;A/T;1.5T I-4 DOHC 16-Valve Turbocharged VTEC;Gasoline;4WD
26;8-Speed A/T;3.0L I6 24V GDI DOHC Turbo;Gasoline;AWD
36;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;RWD
27;7-Speed A/T;I4;Gasoline;AWD
28;7-Speed A/T;I4;Gasoline;AWD
28;9-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
27;Transmission w/Dual Shift Mode;389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas;Plug-In Electric/Gas;AWD
0;8-Speed A/T;3.0L V6 24V GDI DOHC Turbo;Gasoline;AWD
25;8-Speed A/T;2.5L I4 16V PDI DOHC Turbo;Gasoline;RWD
30;9-Speed A/T;241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Gasoline;AWD
27;6-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;4WD
27;7-Speed A/T;4.7L V8 32V GDI DOHC Twin Turbo;Gasoline;AWD
38;Automatic CVT;1.4L I4 16V MPFI DOHC;Gasoline;4WD
38;6-Speed A/T;2.0L I4 16V MPFI DOHC;Gasoline;4WD
38;6-Speed A/T;2.0L I4 16V MPFI DOHC;Gasoline;4WD
22;6-Speed A/T;5.3L V8 16V GDI OHV;Gasoline;4WD
24;8-Speed A/T;3.5L V6 24V PDI DOHC;Gasoline;AWD
23;9-Speed A/T;3.8L V6 24V GDI DOHC;Gasoline;4WD
25;8-Speed A/T;3.6L V6 24V MPFI DOHC;Gasoline;4WD
31;6-Speed A/T;2.5L I4 16V GDI DOHC;Gasoline;4WD
28;A/T;3.0L DOHC 24-valve I6 engine -inc: double-VANOS steplessly varia;Gasoline;RWD
19;8-Speed A/T;5.0L V8 32V GDI DOHC Supercharged;Gasoline;4WD
0;A/T;5.0L V8 FFV engine;Flexible Fuel;4WD
25;6-Speed A/T;4.3L V8 32V MPFI DOHC;Gasoline;RWD
26;8-Speed A/T;3.0L V6 24V GDI DOHC Supercharged;Gasoline;AWD
30;Transmission w/Dual Shift Mode;280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Gasoline;AWD
31;6-Speed A/T;2.5L I4 16V;Gasoline;4WD
44;6-Speed A/T;2.0L I4 16V GDI DOHC Hybrid;Hybrid;4WD
31;Automatic CVT;2.5L I4 16V MPFI DOHC;Gasoline;AWD
37;7-Speed Automatic with Auto-Shift;2.0L I4 16V GDI DOHC Turbo;Gasoline;4WD
36;CVT;1.8L I4 DOHC Dual VVT-i;Gasoline;4WD
27;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;4WD
32;5-Speed A/T;3.5L V6 24V MPFI DOHC;Gasoline;AWD
38;Variable;Regular Unleaded I-4 2.0 L/122;Gasoline;4WD
22;8-Speed A/T;3.0L I6 24V GDI DOHC Turbo;Gasoline;AWD
28;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;4WD
26;A/T;8 Cylinder Engine;Gasoline;AWD
34;8-Speed Automatic with Auto-Shift;2.4L I4 16V GDI DOHC;Gasoline;4WD
24;A/T;3.3L DOHC SFI 24-valve VVT-i V6 engine;Gasoline;4WD
25;Automatic CVT;2.5L H4 16V GDI DOHC;Gasoline;AWD
33;Automatic CVT;2.5L H4 16V GDI DOHC;Gasoline;AWD
33;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
25;M/T;3.0L I6 24V GDI DOHC Twin Turbo;Gasoline;RWD
29;9-Speed A/T;3.6L V6 24V GDI DOHC;Gasoline;AWD
25;7-Speed Automatic with Auto-Shift;3.6L H6 24V GDI DOHC;Gasoline;AWD
26;9-Speed A/T;3.6L V6 24V GDI DOHC;Gasoline;4WD
34;Automatic CVT;1.5L I4 16V GDI DOHC Turbo;Gasoline;4WD
25;6-Speed Automatic with Auto-Shift;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
34;9-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;RWD
29;7-Speed A/T;3.0L V6 24V GDI DOHC Twin Turbo;Gasoline;RWD
31;Automatic CVT;2.5L H4 16V MPFI DOHC;Gasoline;AWD
26;8-Speed A/T;3.6L V6 24V MPFI DOHC;Gasoline;RWD
32;8-Speed A/T;3.6L V6 24V GDI DOHC Twin Turbo;Gasoline;AWD
31;6-Speed A/T;2.5L I4 16V GDI DOHC;Gasoline;4WD
24;8-Speed A/T;3.0L I6 24V GDI DOHC Turbo;Gasoline;AWD
26;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
24;1-Speed A/T;Electric;Electric;AWD
31;8-Speed A/T;3.6L V6 24V GDI DOHC;Gasoline;4WD
27;8-Speed A/T;3.6L V6 24V GDI DOHC;Gasoline;4WD
29;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
106;7-Speed Automatic with Auto-Shift;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
31;Automatic CVT;2.0L I4 16V PDI DOHC Turbo;Gasoline;4WD
27;7-Speed Automatic with Auto-Shift;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
30;8-Speed A/T;3.6L V6 24V MPFI DOHC;Gasoline;RWD
27;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
35;6-Speed A/T;2.5L I4 16V GDI DOHC;Gasoline;4WD
41;Automatic CVT;2.0L I4 16V MPFI DOHC;Gasoline;4WD
27;Automatic CVT;1.5L I4 16V GDI DOHC Turbo;Gasoline;AWD
28;Automatic CVT;3.5L V6 24V MPFI DOHC;Gasoline;4WD
29;8-Speed A/T;6.2L V8 16V GDI OHV;Gasoline;RWD
31;6-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;4WD
27;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
33;1-Speed A/T;Electric;Electric;AWD
34;9-Speed A/T;3.0L V6 24V GDI DOHC Twin Turbo;Gasoline;AWD
117;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
26;8-Speed A/T;3.6L V6 24V MPFI DOHC;Gasoline;RWD
22;9-Speed A/T;3.0L V6 24V GDI DOHC Twin Turbo;Gasoline;AWD
24;10-Speed A/T;5.0L V8 32V PDI DOHC;Gasoline;4WD
27;10-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
36;Automatic CVT;2.4L I4 16V GDI DOHC;Gasoline;4WD
30;8-Speed A/T;3.6L V6 24V MPFI DOHC;Gasoline;RWD
27;10-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
27;6-Speed A/T;V6 Cylinder Engine;Gasoline;4WD
27;7-Speed Automatic with Auto-Shift;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
27;A/T;Regular Unleaded I-4 2.5 L/152;Gasoline;AWD
28;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;AWD
32;8-Speed A/T;3.6L V6 24V GDI DOHC;Gasoline;AWD
25;8-Speed A/T;2.0L I4 16V GDI DOHC;Gasoline;AWD
22;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;AWD
25;6-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;AWD
35;Automatic CVT;1.5L I4 16V GDI DOHC Turbo;Gasoline;4WD
20;7-Speed A/T;5.6L V8 32V GDI DOHC;Gasoline;RWD
26;8-Speed A/T;3.0L V6 24V GDI DOHC Turbo Hybrid;Hybrid;AWD
38;Automatic CVT;1.5L I4 16V GDI DOHC Turbo;Gasoline;4WD
27;8-Speed A/T;3.6L V6 24V MPFI DOHC;Gasoline;AWD
22;8-Speed A/T;3.0L I6 24V GDI DOHC Turbo;Gasoline;AWD
30;Automatic CVT;3.5L V6 24V MPFI DOHC;Gasoline;4WD
33;6-Speed A/T;1.4L I4 16V MPFI DOHC Turbo;Gasoline;4WD
26;8-Speed A/T;3.8L V6 24V GDI DOHC;Gasoline;4WD
27;7-Speed Automatic with Auto-Shift;3.0L V6 24V GDI DOHC Turbo;Gasoline;AWD
27;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;4WD
30;8-Speed Automatic with Auto-Shift;2.0L I4 16V GDI DOHC Turbo;Gasoline;4WD
28;10-Speed A/T;2.3L I4 16V GDI DOHC Turbo;Gasoline;RWD
24;5-Speed A/T;3.2L V6 18V MPFI SOHC Supercharged;Gasoline;RWD
23;10-Speed A/T;2.7L V6 24V PDI DOHC Twin Turbo;Gasoline;4WD
34;8-Speed Automatic with Auto-Shift;2.0L I4 16V GDI DOHC Turbo;Gasoline;4WD
27;7-Speed Automatic with Auto-Shift;2.9L H6 24V MPFI DOHC;Gasoline;RWD
33;6-Speed M/T;1.4L I4 16V MPFI SOHC Turbo;Gasoline;4WD
39;Automatic CVT;1.8L I4 16V MPFI SOHC;Gasoline;4WD
40;Automatic CVT;2.0L I4 16V MPFI DOHC;Gasoline;4WD
19;6-Speed A/T;4.6L V8 32V MPFI DOHC;Gasoline;4WD
27;8-Speed A/T;3.0L I6 24V GDI DOHC Turbo;Gasoline;AWD
23;7-Speed A/T;3.5L V6 24V GDI DOHC;Gasoline;AWD
37;7-Speed Automatic with Auto-Shift;2.0L I4 16V GDI DOHC Turbo;Gasoline;4WD
26;8-Speed A/T;3.0L I6 24V GDI DOHC Turbo;Gasoline;AWD
37;7-Speed Automatic with Auto-Shift;2.0L I4 16V GDI DOHC Turbo;Gasoline;4WD
22;Automatic CVT;2.5L I4 16V MPFI DOHC;Gasoline;AWD
26;Automatic CVT;2.5L I4 16V MPFI DOHC;Gasoline;AWD
32;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;AWD
32;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
26;5-Speed A/T;V6 Cylinder Engine;Gasoline;AWD
