vin;estado;numero_millas;color_interior;color_exterior;precio_rel;value_for_money_rating_rel;consumer_rating;consumer_reviews;comfort_rating;reliability_rating;exterior_styling_rating;performance_rating;interior_design_rating;marca;modelo;year;nombre_vendedor
WBXHT3Z35H4A52176;Used;37592;Beige;Glacier Silver Metallic;30;4.5;4.7;70;4.6;4.7;4.8;4.8;4.6;BMW;X1 xDrive 28i;2017;Acura & Volvo of Athens
5UXKR0C59G0P33274;Used;85748;Brown;Gray;24.995;4.5;4.8;73;4.8;4.7;4.8;4.8;4.8;BMW;X5 xDrive35i;2016;Macomb Automotive
1FMCU0GD4JUD03055;Used;46452;Charcoal Black;Oxford White;19.139;4.6;4.7;578;4.8;4.8;4.8;4.7;4.7;Ford;Escape SE;2018;EchoPark Automotive Greensboro Delivery Center
5TDYZRAH8MS048897;Used;14221;Graphite;Silver;48.98;4.8;4.9;93;4.9;4.9;4.8;4.8;4.8;Toyota;Highlander Limited;2021;Gettel Toyota of Lakewood
1GTU9FET3MZ387481;Used;15586;Dark Walnut;Hunter Metallic;72.95;3.9;4.2;43;4.4;3.9;4.4;4.1;4.3;GMC;Sierra 1500 Denali;2021;Impex Chevrolet GMC Buick
55SWF4JB7JU268187;Used;52000;Silk Beige / Black;Black;29.995;4.7;4.8;66;4.8;4.8;4.9;4.9;4.9;Mercedes-Benz;C-Class C 300;2018;Jack Hanania Chevrolet
5TDGZRAH6LS506043;Used;45601;Black;Midnight Black Metallic;36.498;4.5;4.6;102;4.6;4.8;4.7;4.7;4.6;Toyota;Highlander XLE;2020;HGreg.com Orlando
KNMAT2MV4LP528732;Used;16427;Charcoal;Glacier White;26.999;4.6;4.8;133;4.9;4.8;4.8;4.7;4.7;Nissan;Rogue SV;2020;Bob Johnson Certified Collection
5UXCW2C01L9A01842;Used;15903;Ivory White;Dark Graphite Metallic;73.7;4.7;4.9;22;5;4.9;4.9;5;5;BMW;X7 xDrive40i;2020;BMW of Sterling
3LN6L5LU5KR622217;Used;31792;Cappuccino;Blue Diamond;31.5;5;4.9;7;4.9;5;4.9;4.9;5;Lincoln;MKZ Hybrid Reserve I;2019;Auto Giants Nissan
